id,subject,body,label
1,Solicitação de relatório,Poderiam me ajudar a gerar o relatório de vendas do último mês?,Produtivo
2,Mensagem motivacional,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
3,Atualização de contrato,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
4,Elogio ao time,Quero agradecer pelo apoio no projeto concluído semana passada.,Improdutivo
5,Solicitação de relatório,Poderiam me ajudar a gerar o relatório de vendas do último mês?,Produtivo
6,Desejo de sucesso,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
7,Solicitação de suporte,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
8,Convite para confraternização,Parabéns pelo aniversário! Que seja um dia especial.,Improdutivo
9,Dúvida sobre o sistema,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
10,Parabéns pelo trabalho,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
11,Agendamento de reunião técnica,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
12,Parabéns pelo trabalho,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
13,Dúvida sobre o sistema,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
14,Felicitações,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
15,Confirmação de entrega de projeto,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
16,Reconhecimento de esforço,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
17,Atualização de contrato,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
18,Elogio ao time,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
19,Pedido de alteração cadastral,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
20,Parabéns pelo trabalho,Quero agradecer pelo apoio no projeto concluído semana passada.,Improdutivo
21,Problema de acesso,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
22,Agradecimento,Envio uma mensagem de motivação para mantermos a energia positiva.,Improdutivo
23,Ticket pendente,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
24,Convite para confraternização,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
25,Agendamento de reunião técnica,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
26,Reconhecimento de esforço,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
27,Dúvida sobre o sistema,Poderiam me ajudar a gerar o relatório de vendas do último mês?,Produtivo
28,Convite para confraternização,Quero agradecer pelo apoio no projeto concluído semana passada.,Improdutivo
29,Agendamento de reunião técnica,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
30,Agradecimento,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
31,Agendamento de reunião técnica,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
32,Desejo de sucesso,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
33,Solicitação de suporte,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
34,Reconhecimento de esforço,O trabalho do time foi fundamental para alcançarmos essa meta.,Improdutivo
35,Agendamento de reunião técnica,"O sistema está apresentando lentidão, principalmente no módulo financeiro.",Produtivo
36,Mensagem de boas-vindas,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
37,Solicitação de suporte,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
38,Mensagem motivacional,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
39,Problema de acesso,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
40,Reconhecimento de esforço,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
41,Dúvida sobre o sistema,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
42,Boas festas,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
43,Problema de acesso,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
44,Parabéns pelo trabalho,Desejo muito sucesso a todos nos próximos desafios.,Improdutivo
45,Dúvida sobre o sistema,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
46,Desejo de sucesso,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
47,Confirmação de entrega de projeto,"O sistema está apresentando lentidão, principalmente no módulo financeiro.",Produtivo
48,Boas festas,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
49,Agendamento de reunião técnica,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
50,Elogio ao time,Desejo muito sucesso a todos nos próximos desafios.,Improdutivo
51,Problema de acesso,"O cliente retornou com mais informações, precisamos atualizar o chamado.",Produtivo
52,Desejo de sucesso,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
53,Solicitação de relatório,"O cliente retornou com mais informações, precisamos atualizar o chamado.",Produtivo
54,Reconhecimento de esforço,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
55,Confirmação de entrega de projeto,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
56,Convite para confraternização,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
57,Agendamento de reunião técnica,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
58,Parabéns pelo trabalho,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
59,Solicitação de suporte,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
60,Mensagem motivacional,Parabéns pelo aniversário! Que seja um dia especial.,Improdutivo
61,Atualização de contrato,Poderiam me ajudar a gerar o relatório de vendas do último mês?,Produtivo
62,Reconhecimento de esforço,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
63,Solicitação de suporte,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
64,Agradecimento,O trabalho do time foi fundamental para alcançarmos essa meta.,Improdutivo
65,Atualização de contrato,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
66,Boas festas,Parabéns pelo aniversário! Que seja um dia especial.,Improdutivo
67,Pedido de alteração cadastral,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
68,Parabéns pelo trabalho,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
69,Solicitação de suporte,Poderiam me ajudar a gerar o relatório de vendas do último mês?,Produtivo
70,Reconhecimento de esforço,Quero agradecer pelo apoio no projeto concluído semana passada.,Improdutivo
71,Atualização de contrato,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
72,Boas festas,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
73,Solicitação de suporte,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
74,Parabéns pelo trabalho,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
75,Atualização de contrato,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
76,Reconhecimento de esforço,Parabéns pelo aniversário! Que seja um dia especial.,Improdutivo
77,Agendamento de reunião técnica,"O cliente retornou com mais informações, precisamos atualizar o chamado.",Produtivo
78,Agradecimento,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
79,Ticket pendente,Poderiam me ajudar a gerar o relatório de vendas do último mês?,Produtivo
80,Convite para confraternização,Envio uma mensagem de motivação para mantermos a energia positiva.,Improdutivo
81,Solicitação de suporte,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
82,Parabéns pelo trabalho,Desejo muito sucesso a todos nos próximos desafios.,Improdutivo
83,Atualização de contrato,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
84,Elogio ao time,Envio uma mensagem de motivação para mantermos a energia positiva.,Improdutivo
85,Pedido de alteração cadastral,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
86,Felicitações,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
87,Dúvida sobre o sistema,Poderiam me ajudar a gerar o relatório de vendas do último mês?,Produtivo
88,Mensagem motivacional,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
89,Ticket pendente,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
90,Mensagem de boas-vindas,O trabalho do time foi fundamental para alcançarmos essa meta.,Improdutivo
91,Dúvida sobre o sistema,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
92,Boas festas,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
93,Confirmação de entrega de projeto,"O cliente retornou com mais informações, precisamos atualizar o chamado.",Produtivo
94,Felicitações,Parabéns pelo aniversário! Que seja um dia especial.,Improdutivo
95,Erro no sistema,Poderiam me ajudar a gerar o relatório de vendas do último mês?,Produtivo
96,Convite para confraternização,Desejo muito sucesso a todos nos próximos desafios.,Improdutivo
97,Problema de acesso,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
98,Agradecimento,O trabalho do time foi fundamental para alcançarmos essa meta.,Improdutivo
99,Confirmação de entrega de projeto,"O sistema está apresentando lentidão, principalmente no módulo financeiro.",Produtivo
100,Agradecimento,O trabalho do time foi fundamental para alcançarmos essa meta.,Improdutivo
101,Agendamento de reunião técnica,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
102,Mensagem de boas-vindas,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
103,Problema de acesso,"O sistema está apresentando lentidão, principalmente no módulo financeiro.",Produtivo
104,Boas festas,O trabalho do time foi fundamental para alcançarmos essa meta.,Improdutivo
105,Pedido de alteração cadastral,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
